aluminium,ammonia,arsenic,barium,cadmium,chloramine,chromium,copper,flouride,bacteria,viruses,lead,nitrates,nitrites,mercury,perchlorate,radium,selenium,silver,uranium
2.55,10.15,0.40,2.11,0.12,3.25,0.52,1.89,1.18,0.00,0.00,0.09,7.86,1.69,0.00,22.92,3.40,0.07,0.29,0.07
2.04,12.04,0.04,3.20,0.00,3.16,0.32,0.63,1.12,0.00,0.00,0.19,7.18,1.08,0.01,30.05,5.34,0.08,0.29,0.00
3.57,1.97,1.01,2.91,0.02,2.02,0.32,0.94,0.26,0.00,0.00,0.02,11.20,1.52,0.00,51.01,4.23,0.06,0.03,0.04
1.54,1.77,0.03,1.52,0.00,4.54,0.16,0.78,0.05,0.00,0.00,0.19,9.75,1.54,0.00,11.83,4.26,0.05,0.34,0.06
3.83,19.07,0.92,1.61,0.11,6.66,0.70,0.29,0.50,0.00,0.00,0.14,18.97,2.25,0.00,33.42,3.09,0.02,0.38,0.02
1.40,2.34,0.04,1.93,0.01,4.24,0.02,0.48,0.05,0.00,0.00,0.17,17.89,1.12,0.01,7.69,4.27,0.09,0.18,0.03
1.87,9.10,0.71,2.32,0.13,0.64,0.30,1.70,0.29,0.00,0.00,0.19,13.05,1.75,0.01,22.14,2.58,0.03,0.40,0.04
1.08,4.05,0.00,3.36,0.01,4.63,0.56,1.89,1.36,0.00,0.00,0.17,13.50,1.04,0.01,22.03,3.76,0.02,0.45,0.06
2.96,5.09,0.93,2.76,0.03,5.26,0.33,0.72,0.42,0.00,0.00,0.07,13.04,1.89,0.01,50.23,3.49,0.00,0.38,0.03
0.81,15.17,0.02,1.18,0.01,7.86,0.07,0.54,1.20,0.00,0.00,0.05,18.80,1.43,0.01,10.49,5.18,0.06,0.07,0.02
4.35,16.25,0.09,3.63,0.01,5.16,0.29,1.50,0.25,0.00,0.00,0.08,6.85,1.98,0.01,58.70,1.39,0.02,0.11,0.00
0.94,9.34,0.03,3.41,0.00,0.96,0.56,1.03,0.99,0.00,0.00,0.13,8.47,1.56,0.01,44.62,4.28,0.02,0.05,0.02
3.29,1.91,0.16,2.30,0.11,0.42,0.24,1.52,0.76,0.00,0.00,0.16,8.28,2.03,0.00,37.26,3.04,0.10,0.20,0.08
0.43,10.55,0.04,1.24,0.00,6.78,0.37,1.84,0.22,0.00,0.00,0.04,5.03,1.15,0.00,13.14,7.54,0.00,0.47,0.06
3.58,5.33,0.21,2.65,0.08,4.13,0.70,1.51,0.89,0.00,0.00,0.16,9.44,1.53,0.00,14.63,0.25,0.08,0.01,0.09
0.32,28.36,0.04,3.46,0.01,0.34,0.76,0.40,0.34,0.00,0.00,0.01,1.48,1.15,0.00,20.36,4.91,0.01,0.36,0.02
2.26,29.62,0.60,2.24,0.06,3.74,0.47,1.16,1.06,0.00,0.00,0.12,6.68,1.64,0.00,46.17,7.90,0.04,0.50,0.04
0.58,27.80,0.02,0.74,0.01,6.07,0.28,0.01,0.78,0.00,0.00,0.04,8.83,1.10,0.00,29.00,1.70,0.07,0.37,0.05
2.52,25.10,0.05,1.27,0.04,2.84,0.04,0.87,0.16,0.00,0.00,0.04,7.61,1.60,0.01,15.93,5.99,0.02,0.40,0.05
0.16,15.37,0.04,2.85,0.00,2.19,0.05,1.90,1.10,0.00,0.00,0.17,8.02,1.63,0.00,23.22,3.43,0.09,0.10,0.00
1.97,19.63,0.76,1.33,0.12,2.02,0.16,0.02,0.04,0.00,0.00,0.20,11.33,1.97,0.01,23.87,4.80,0.06,0.41,0.02
0.45,29.80,0.04,1.46,0.00,2.35,0.01,1.46,1.46,0.00,0.00,0.08,4.07,1.37,0.01,28.46,0.96,0.07,0.40,0.06
1.27,23.08,1.04,4.34,0.06,4.53,0.63,1.94,1.27,0.00,0.00,0.19,13.44,2.24,0.01,1.10,4.80,0.08,0.22,0.07
0.45,12.21,0.04,2.89,0.01,5.23,0.84,0.99,0.62,0.00,0.00,0.08,15.59,1.77,0.00,9.06,1.06,0.06,0.40,0.02
2.17,23.48,0.56,1.48,0.04,4.44,0.82,1.57,0.43,0.00,0.00,0.09,15.44,1.98,0.01,29.61,5.11,0.03,0.20,0.03
3.20,1.54,0.01,3.25,0.00,4.24,0.45,1.13,1.05,0.00,0.00,0.01,5.79,1.30,0.01,25.84,6.28,0.01,0.42,0.08
4.24,23.27,0.98,2.34,0.07,7.14,0.47,1.95,1.38,0.00,0.00,0.19,19.06,1.12,0.01,1.23,2.40,0.05,0.35,0.02
1.27,19.87,0.03,0.04,0.01,6.23,0.84,1.91,0.83,0.00,0.00,0.02,0.45,1.42,0.01,12.90,2.15,0.03,0.21,0.04
4.26,17.74,0.75,4.38,0.12,2.44,0.03,1.40,0.50,0.00,0.00,0.04,3.35,1.86,0.00,53.90,7.90,0.04,0.28,0.03
4.39,5.04,0.01,3.41,0.01,4.39,0.19,0.67,0.75,0.00,0.00,0.03,4.54,1.58,0.01,7.82,1.84,0.07,0.14,0.07
4.12,10.26,0.46,4.17,0.01,0.52,0.39,0.55,1.27,0.00,0.00,0.09,16.89,1.52,0.01,42.34,2.53,0.09,0.37,0.05
1.86,10.48,0.04,3.79,0.00,5.65,0.69,1.59,0.21,0.00,0.00,0.02,4.94,1.48,0.00,39.06,7.51,0.04,0.40,0.01
2.61,1.26,0.53,4.05,0.06,3.69,0.03,1.39,1.12,0.00,0.00,0.11,10.02,1.61,0.01,49.87,4.39,0.02,0.11,0.07
2.41,23.26,0.03,3.56,0.01,6.26,0.73,1.59,0.27,0.00,0.00,0.18,8.21,1.95,0.01,1.88,3.24,0.06,0.09,0.07
3.60,25.94,0.53,2.07,0.12,0.09,0.34,0.37,1.29,0.00,0.00,0.12,12.88,1.08,0.01,6.99,2.73,0.04,0.03,0.08
1.51,9.10,0.03,1.94,0.00,7.54,0.76,0.27,1.42,0.00,0.00,0.11,14.33,1.95,0.00,19.46,3.91,0.08,0.13,0.04
3.99,21.48,0.48,3.73,0.04,5.89,0.08,0.35,1.43,0.00,0.00,0.06,18.72,1.12,0.00,49.94,2.90,0.05,0.46,0.03
3.13,6.45,0.03,3.44,0.01,3.33,0.55,0.23,0.91,0.00,0.00,0.19,1.29,1.32,0.01,16.35,0.05,0.09,0.25,0.02
1.27,1.26,0.67,4.00,0.07,5.82,0.45,1.45,0.52,0.00,0.00,0.09,1.07,1.70,0.01,36.02,6.59,0.01,0.34,0.01
2.85,11.98,0.02,3.75,0.00,6.32,0.58,0.89,0.04,0.00,0.00,0.09,7.47,1.78,0.00,2.87,1.66,0.06,0.33,0.05
0.85,13.49,0.58,3.24,0.13,1.25,0.20,1.06,0.53,0.00,0.00,0.16,12.02,1.72,0.00,8.80,3.42,0.03,0.15,0.03
0.23,10.42,0.05,3.89,0.00,6.83,0.20,0.07,0.73,0.00,0.00,0.16,10.83,1.84,0.01,16.47,1.34,0.03,0.06,0.04
3.36,19.39,0.70,1.81,0.01,1.93,0.45,0.50,0.74,0.00,0.00,0.07,19.40,1.58,0.01,12.35,3.22,0.05,0.32,0.04
2.25,11.64,0.01,3.73,0.01,5.67,0.64,0.40,0.27,0.00,0.00,0.06,4.46,1.26,0.01,26.12,7.76,0.06,0.03,0.09
2.64,27.37,0.51,2.60,0.11,2.84,0.80,0.27,0.93,0.00,0.00,0.07,16.91,1.51,0.00,48.06,4.16,0.06,0.11,0.02
2.54,19.79,0.03,2.43,0.00,2.03,0.82,1.05,0.69,0.00,0.00,0.05,9.46,1.70,0.00,14.67,6.60,0.01,0.03,0.04
3.20,17.03,0.07,2.88,0.06,7.83,0.40,1.24,0.92,0.00,0.00,0.17,6.98,1.14,0.00,58.24,5.90,0.08,0.21,0.01
2.45,12.38,0.03,0.78,0.00,1.82,0.06,1.27,1.15,0.00,0.00,0.02,13.11,1.33,0.01,4.79,0.70,0.01,0.23,0.07
0.23,11.56,0.39,1.79,0.07,3.57,0.80,1.54,0.32,0.00,0.00,0.04,18.92,1.68,0.01,53.95,7.25,0.06,0.28,0.08
3.13,28.98,0.02,1.80,0.01,6.25,0.32,0.72,0.53,0.00,0.00,0.03,6.98,1.80,0.01,15.09,4.94,0.01,0.39,0.09
3.91,10.92,0.93,4.29,0.10,4.05,0.14,1.04,1.39,0.00,0.00,0.18,4.13,1.26,0.01,51.09,6.42,0.03,0.43,0.05
4.39,18.91,0.04,0.73,0.00,2.92,0.41,1.26,1.04,0.00,0.00,0.20,16.09,1.23,0.01,4.79,4.52,0.06,0.45,0.05
1.30,5.56,0.63,1.61,0.08,3.94,0.15,0.33,1.33,0.00,0.00,0.14,11.70,2.25,0.01,53.51,4.39,0.01,0.39,0.01
1.55,11.30,0.02,3.14,0.01,7.52,0.03,0.10,1.38,0.00,0.00,0.03,7.43,1.55,0.01,19.77,2.42,0.09,0.26,0.02
0.23,3.98,0.95,1.47,0.09,2.05,0.27,0.60,0.07,0.00,0.00,0.16,0.88,1.18,0.01,45.80,3.44,0.06,0.44,0.04
2.56,6.22,0.00,0.17,0.00,1.39,0.74,0.03,0.15,0.00,0.00,0.17,16.08,1.50,0.00,11.39,3.86,0.01,0.43,0.00
2.34,15.95,0.40,1.25,0.08,5.38,0.19,1.64,0.61,0.00,0.00,0.04,12.19,1.55,0.01,18.77,4.33,0.02,0.28,0.08
0.42,18.06,0.04,2.22,0.01,6.92,0.61,1.95,0.48,0.00,0.00,0.10,14.52,1.39,0.00,25.83,4.20,0.09,0.08,0.03
2.76,27.42,0.76,3.25,0.01,1.16,0.13,1.69,0.98,0.00,0.00,0.18,6.76,2.02,0.01,46.34,2.65,0.07,0.40,0.01
2.13,29.19,0.05,1.47,0.01,0.50,0.52,1.92,0.72,0.00,0.00,0.01,9.68,1.51,0.00,21.38,5.10,0.05,0.28,0.09
4.23,29.17,0.12,1.30,0.12,0.79,0.77,1.51,0.36,0.00,0.00,0.16,14.47,1.81,0.01,22.95,6.20,0.07,0.12,0.07
4.75,14.91,0.04,2.40,0.00,6.36,0.35,1.48,0.54,0.00,0.00,0.13,11.21,1.22,0.01,9.56,7.90,0.02,0.17,0.06
4.39,1.24,0.86,1.94,0.11,3.99,0.80,1.99,0.48,0.00,0.00,0.05,18.81,1.49,0.00,20.32,6.66,0.09,0.16,0.00
3.93,4.89,0.01,2.26,0.00,3.53,0.40,1.49,1.05,0.00,0.00,0.20,6.73,1.31,0.00,22.88,6.43,0.01,0.31,0.08
0.97,9.24,0.17,2.19,0.01,7.78,0.19,1.22,1.06,0.00,0.00,0.10,4.13,1.51,0.01,21.32,4.35,0.01,0.41,0.07
0.86,9.91,0.01,2.34,0.01,6.50,0.09,1.76,0.56,0.00,0.00,0.10,6.32,1.43,0.00,32.60,3.54,0.10,0.05,0.01
2.44,14.38,0.21,2.04,0.10,1.54,0.23,1.30,0.37,0.00,0.00,0.16,10.42,1.16,0.01,25.25,3.24,0.05,0.44,0.00
2.06,26.00,0.01,1.47,0.00,2.77,0.24,0.66,0.55,0.00,0.00,0.16,3.15,1.61,0.01,13.88,7.56,0.02,0.47,0.06
0.95,5.38,0.54,4.16,0.04,5.15,0.15,1.38,1.39,0.00,0.00,0.05,2.98,1.47,0.00,16.75,7.35,0.09,0.44,0.08
4.78,2.05,0.03,2.38,0.01,1.90,0.79,0.51,0.91,0.00,0.00,0.04,13.57,1.46,0.01,41.91,6.38,0.02,0.34,0.07
0.94,23.14,0.62,4.14,0.04,1.05,0.26,0.50,0.85,0.00,0.00,0.03,4.50,1.39,0.01,49.10,3.23,0.09,0.03,0.02
3.43,15.58,0.04,2.65,0.01,1.49,0.15,1.97,0.26,0.00,0.00,0.12,3.25,1.79,0.01,36.15,3.91,0.06,0.48,0.04
2.45,26.02,0.58,3.98,0.07,5.34,0.30,0.78,0.09,0.00,0.00,0.14,11.39,1.56,0.01,17.64,4.63,0.09,0.18,0.05
4.81,26.64,0.02,2.29,0.01,0.70,0.17,1.57,0.11,0.00,0.00,0.02,7.49,1.95,0.00,2.72,0.35,0.08,0.22,0.05
4.96,20.55,0.95,2.88,0.04,3.03,0.19,0.17,0.59,0.00,0.00,0.16,18.87,1.55,0.01,19.88,6.49,0.01,0.31,0.09
0.48,23.82,0.01,2.69,0.00,6.81,0.34,0.21,1.43,0.00,0.00,0.10,8.12,1.45,0.01,27.84,0.64,0.05,0.17,0.01
3.42,18.31,0.85,2.58,0.13,1.68,0.68,1.45,1.40,0.00,0.00,0.10,8.55,1.70,0.00,51.66,1.31,0.01,0.18,0.04
2.67,7.23,0.04,3.38,0.00,3.82,0.75,1.93,0.18,0.00,0.00,0.04,6.22,1.65,0.01,42.42,5.34,0.04,0.03,0.06
3.13,16.67,0.93,1.99,0.10,0.52,0.03,0.04,1.16,0.00,0.00,0.04,6.14,1.49,0.01,14.26,3.72,0.04,0.14,0.08
3.21,23.64,0.04,0.55,0.01,3.08,0.28,1.50,0.63,0.00,0.00,0.15,7.86,1.82,0.01,28.19,5.94,0.07,0.22,0.02
3.74,12.36,0.38,2.76,0.11,6.53,0.80,1.80,1.46,0.00,0.00,0.11,10.13,1.26,0.01,19.64,3.95,0.09,0.44,0.07
3.83,18.88,0.04,2.49,0.00,5.71,0.30,0.67,1.08,0.00,0.00,0.01,10.56,1.84,0.01,16.54,3.40,0.08,0.29,0.02
4.76,23.31,0.41,1.88,0.11,6.84,0.43,1.83,1.03,0.00,0.00,0.14,10.85,1.75,0.00,44.05,1.08,0.06,0.27,0.02
1.14,8.89,0.04,2.67,0.00,0.17,0.46,0.10,0.01,0.00,0.00,0.10,15.10,1.36,0.01,10.45,6.00,0.01,0.01,0.04
3.41,19.19,0.97,1.31,0.10,4.69,0.35,1.37,0.65,0.00,0.00,0.03,11.37,2.28,0.01,47.68,6.75,0.06,0.42,0.02
0.17,12.03,0.05,3.87,0.00,4.93,0.71,1.98,1.32,0.00,0.00,0.03,3.35,1.15,0.01,4.80,7.16,0.02,0.21,0.09
4.51,27.98,0.26,4.14,0.03,5.41,0.38,0.52,0.22,0.00,0.00,0.06,12.67,1.50,0.00,16.18,6.63,0.03,0.14,0.07
2.27,2.65,0.04,1.87,0.00,6.28,0.57,0.28,1.25,0.00,0.00,0.05,0.39,1.88,0.01,51.03,1.00,0.08,0.28,0.03
4.55,14.34,0.34,1.73,0.09,3.87,0.59,1.45,0.28,0.00,0.00,0.20,8.83,1.59,0.01,53.73,4.47,0.06,0.02,0.08
1.32,0.71,0.02,0.96,0.01,3.98,0.38,1.50,0.92,0.00,0.00,0.18,10.27,1.21,0.01,26.53,4.07,0.04,0.11,0.08
0.62,4.53,0.86,1.68,0.06,4.25,0.49,0.75,0.44,0.00,0.00,0.16,16.01,1.34,0.00,20.70,7.42,0.04,0.30,0.04
2.89,22.57,0.02,2.95,0.01,1.39,0.68,0.77,0.49,0.00,0.00,0.08,18.75,1.44,0.00,14.49,7.30,0.08,0.04,0.04
2.74,3.90,1.00,1.19,0.09,0.92,0.33,0.07,0.70,0.00,0.00,0.01,6.81,1.86,0.01,44.94,7.85,0.06,0.13,0.08
4.20,6.70,0.03,2.83,0.00,2.32,0.25,1.52,0.53,0.00,0.00,0.19,5.05,1.58,0.01,16.41,7.90,0.07,0.13,0.08
4.35,1.93,0.20,3.35,0.04,4.21,0.28,1.66,0.79,0.00,0.00,0.06,5.22,1.28,0.01,10.98,4.05,0.06,0.24,0.05
2.29,13.29,0.02,3.74,0.00,7.15,0.13,1.42,0.70,0.00,0.00,0.05,14.45,1.41,0.01,14.45,1.72,0.10,0.03,0.06
2.22,8.66,0.73,2.11,0.09,4.46,0.76,1.96,0.82,0.00,0.00,0.04,13.97,1.94,0.00,40.35,0.77,0.00,0.33,0.01
0.43,16.29,0.01,3.45,0.01,6.79,0.05,1.18,0.47,0.00,0.00,0.09,0.26,1.53,0.01,18.48,3.02,0.02,0.31,0.06
1.37,17.56,0.93,0.60,0.04,8.00,0.03,0.57,1.44,0.00,0.00,0.09,8.05,2.01,0.01,46.27,2.68,0.02,0.30,0.07
2.99,3.76,0.04,2.24,0.01,0.51,0.40,0.69,0.14,0.00,0.00,0.16,5.88,1.33,0.01,32.51,1.05,0.02,0.43,0.02
2.64,5.70,0.70,2.32,0.06,6.73,0.07,0.65,1.50,0.00,0.00,0.12,12.20,2.08,0.00,18.49,2.35,0.01,0.31,0.06
1.75,0.69,0.04,3.41,0.01,1.55,0.86,0.26,0.59,0.00,0.00,0.01,12.69,1.61,0.00,25.03,6.26,0.08,0.20,0.06
5.05,19.35,0.28,2.90,0.05,1.02,0.19,0.36,1.39,0.00,0.00,0.12,3.25,1.80,0.00,1.29,7.85,0.06,0.05,0.08
1.25,19.22,0.03,1.09,0.01,6.56,0.84,1.72,0.91,0.00,0.00,0.02,4.07,1.35,0.01,26.65,6.98,0.03,0.18,0.04
2.65,18.07,0.35,3.50,0.11,3.38,0.26,1.07,1.44,0.00,0.00,0.06,10.54,1.83,0.01,22.71,1.55,0.10,0.04,0.08
1.01,17.54,0.01,3.92,0.00,5.68,0.28,0.77,1.40,0.00,0.00,0.12,14.19,1.39,0.01,8.04,5.95,0.07,0.47,0.07
0.40,21.66,0.20,3.33,0.01,1.02,0.59,0.08,1.19,0.00,0.00,0.16,11.51,1.41,0.00,34.36,6.70,0.04,0.42,0.02
1.95,19.19,0.02,1.35,0.00,3.02,0.87,1.48,0.45,0.00,0.00,0.05,4.21,1.73,0.01,15.84,7.63,0.08,0.49,0.04
3.88,15.91,0.18,2.79,0.06,7.34,0.13,1.64,0.78,0.00,0.00,0.04,7.84,1.91,0.01,54.46,3.07,0.09,0.11,0.03
4.35,0.13,0.02,1.92,0.01,3.21,0.02,0.33,0.74,0.00,0.00,0.01,1.59,1.98,0.00,22.42,4.13,0.00,0.06,0.04
2.95,1.56,0.11,3.77,0.05,4.65,0.37,1.39,1.19,0.00,0.00,0.19,1.37,1.42,0.01,5.04,7.60,0.08,0.48,0.02
3.20,8.68,0.01,2.64,0.01,6.58,0.01,0.17,0.95,0.00,0.00,0.02,10.39,1.17,0.01,22.12,6.67,0.08,0.24,0.07
1.61,6.37,0.35,1.33,0.11,4.01,0.21,0.50,1.34,0.00,0.00,0.10,2.57,1.52,0.00,21.16,6.60,0.01,0.42,0.07
0.85,29.02,0.03,1.21,0.00,6.14,0.36,1.18,1.10,0.00,0.00,0.04,6.87,1.45,0.01,16.61,2.27,0.06,0.24,0.00
4.39,1.76,0.36,2.61,0.10,3.49,0.79,0.55,0.96,0.00,0.00,0.06,14.92,2.07,0.00,3.28,1.55,0.03,0.15,0.04
0.05,10.29,0.02,0.92,0.01,4.05,0.87,0.19,1.18,0.00,0.00,0.16,6.82,1.35,0.00,24.25,0.62,0.07,0.06,0.03
2.28,25.49,0.25,4.02,0.11,1.60,0.86,0.66,1.00,0.00,0.00,0.18,12.68,1.38,0.00,47.65,1.27,0.07,0.40,0.00
2.93,15.34,0.01,2.39,0.01,1.65,0.25,1.12,1.15,0.00,0.00,0.12,2.47,1.38,0.00,15.13,7.55,0.10,0.01,0.03
3.86,8.03,0.27,4.18,0.00,2.71,0.05,0.06,0.74,0.00,0.00,0.08,4.94,1.27,0.00,54.85,7.35,0.05,0.36,0.00
3.99,9.06,0.00,3.64,0.01,6.69,0.43,1.35,0.32,0.00,0.00,0.20,15.91,1.99,0.00,25.05,4.90,0.06,0.16,0.01
2.80,26.54,0.51,0.29,0.11,1.98,0.77,0.05,1.43,0.00,0.00,0.04,4.39,2.19,0.01,43.00,2.01,0.01,0.23,0.01
1.40,14.93,0.05,3.63,0.01,7.74,0.70,1.71,0.65,0.00,0.00,0.12,3.01,1.68,0.00,18.56,3.90,0.05,0.41,0.04
0.86,20.28,0.89,4.47,0.07,2.17,0.41,0.79,0.59,0.00,0.00,0.02,4.24,1.79,0.00,16.12,6.25,0.06,0.35,0.09
0.31,1.91,0.04,0.48,0.00,4.59,0.54,1.31,0.33,0.00,0.00,0.11,8.50,1.60,0.01,25.36,1.84,0.02,0.11,0.00
1.17,9.82,0.59,2.62,0.12,3.08,0.66,1.26,1.33,0.00,0.00,0.16,3.12,1.80,0.00,4.98,1.18,0.01,0.42,0.01
4.36,29.50,0.03,3.78,0.00,1.45,0.88,1.19,0.38,0.00,0.00,0.06,7.23,1.00,0.01,14.95,3.72,0.07,0.42,0.06
4.05,28.14,0.28,1.20,0.08,8.07,0.32,0.21,1.04,0.00,0.00,0.11,4.48,1.63,0.01,56.46,1.04,0.06,0.04,0.03
2.46,13.29,0.01,1.38,0.00,7.17,0.24,0.38,0.61,0.00,0.00,0.03,1.43,1.01,0.01,6.99,3.60,0.00,0.37,0.04
4.13,20.09,0.63,4.21,0.01,5.42,0.86,1.94,0.80,0.00,0.00,0.12,13.29,1.62,0.01,28.15,1.51,0.01,0.27,0.04
3.60,8.62,0.01,1.04,0.00,1.41,0.19,1.76,0.21,0.00,0.00,0.01,2.57,1.61,0.00,5.85,1.54,0.09,0.16,0.01
1.60,10.06,0.30,3.77,0.01,0.20,0.84,0.71,1.43,0.00,0.00,0.14,1.90,1.13,0.01,43.48,7.67,0.05,0.23,0.01
3.88,11.07,0.05,1.02,0.01,6.10,0.20,1.13,1.34,0.00,0.00,0.16,1.99,1.45,0.01,22.66,3.71,0.03,0.00,0.07
2.47,2.05,0.26,2.83,0.00,6.26,0.03,1.33,1.00,0.00,0.00,0.15,16.72,2.20,0.01,16.27,3.36,0.07,0.27,0.06
1.41,3.42,0.02,3.34,0.00,5.79,0.12,1.85,0.33,0.00,0.00,0.16,5.35,1.37,0.00,36.39,4.33,0.02,0.39,0.07
2.61,28.49,1.00,2.77,0.10,5.92,0.33,0.89,1.41,0.00,0.00,0.12,11.72,2.62,0.01,35.36,7.08,0.06,0.14,0.01
1.01,12.52,0.02,1.83,0.00,6.76,0.30,0.23,0.21,0.00,0.00,0.10,17.64,1.56,0.01,24.10,3.17,0.05,0.26,0.05
3.04,21.58,0.92,3.55,0.03,0.88,0.72,0.55,0.19,0.00,0.00,0.09,0.52,1.32,0.00,33.04,6.83,0.01,0.25,0.03
2.91,12.55,0.04,1.91,0.01,3.07,0.05,0.11,0.11,0.00,0.00,0.00,1.68,1.27,0.00,34.01,0.16,0.05,0.17,0.09
1.41,8.61,0.56,4.39,0.10,3.93,0.49,1.53,1.04,0.00,0.00,0.06,14.68,2.08,0.01,43.72,5.56,0.00,0.03,0.08
0.42,18.15,0.02,0.92,0.00,3.76,0.31,1.60,0.52,0.00,0.00,0.13,9.29,1.43,0.00,36.76,2.38,0.04,0.31,0.01
1.48,19.50,0.79,2.86,0.03,5.23,0.05,1.04,1.19,0.00,0.00,0.08,8.61,1.83,0.01,33.97,7.94,0.03,0.36,0.00
0.29,2.03,0.01,0.83,0.01,6.97,0.88,0.40,1.41,0.00,0.00,0.02,8.80,1.78,0.00,38.55,4.86,0.09,0.37,0.02
3.88,8.52,0.36,1.03,0.09,5.68,0.22,1.09,0.40,0.00,0.00,0.13,7.86,1.44,0.01,58.50,6.50,0.01,0.15,0.04
1.70,9.17,0.05,1.46,0.01,0.14,0.44,1.43,1.35,0.00,0.00,0.03,7.13,1.97,0.01,9.71,6.80,0.07,0.34,0.06
1.71,2.24,0.25,2.87,0.06,5.21,0.55,0.88,1.45,0.00,0.00,0.07,13.62,2.07,0.01,4.62,5.78,0.04,0.26,0.01
4.36,25.18,0.04,0.04,0.00,5.10,0.86,1.23,0.52,0.00,0.00,0.02,12.63,1.93,0.00,1.19,7.79,0.04,0.43,0.01
0.52,22.11,0.60,2.96,0.08,0.69,0.21,1.32,1.23,0.00,0.00,0.05,18.94,1.86,0.01,32.08,0.51,0.06,0.20,0.00
3.18,29.44,0.01,3.33,0.01,0.40,0.16,0.15,0.98,0.00,0.00,0.19,8.96,1.42,0.00,15.45,1.70,0.02,0.08,0.05
3.43,18.83,0.66,2.53,0.11,1.10,0.18,0.46,1.43,0.00,0.00,0.08,17.70,1.50,0.01,40.84,2.01,0.02,0.25,0.06
0.19,22.84,0.00,0.09,0.00,1.11,0.54,1.21,1.33,0.00,0.00,0.12,12.05,1.58,0.01,21.20,0.46,0.03,0.00,0.03
0.06,18.97,0.21,2.17,0.10,4.85,0.65,0.73,0.82,0.00,0.00,0.12,2.22,1.66,0.01,37.91,2.87,0.10,0.01,0.04
2.73,29.18,0.01,3.65,0.00,3.33,0.67,1.50,0.48,0.00,0.00,0.13,14.07,1.67,0.00,11.27,6.85,0.06,0.11,0.06
3.67,17.94,0.57,1.09,0.08,1.59,0.86,1.44,1.42,0.00,0.00,0.18,0.49,1.41,0.00,36.22,4.95,0.06,0.07,0.06
3.65,28.57,0.03,3.10,0.00,6.09,0.04,0.57,0.92,0.00,0.00,0.04,6.39,1.82,0.01,13.01,5.33,0.05,0.10,0.05
3.48,23.97,0.71,3.64,0.05,4.55,0.09,0.37,0.49,0.00,0.00,0.19,11.36,2.18,0.01,46.04,4.85,0.06,0.18,0.02
2.91,0.37,0.03,2.75,0.00,2.56,0.49,0.24,1.19,0.00,0.00,0.13,4.22,1.90,0.01,2.55,3.95,0.07,0.49,0.06
3.70,15.51,0.83,2.98,0.01,2.85,0.34,0.98,0.23,0.00,0.00,0.16,5.96,1.51,0.01,23.91,3.73,0.06,0.28,0.05
2.24,9.56,0.03,0.18,0.01,5.60,0.64,0.02,1.05,0.00,0.00,0.17,13.07,1.79,0.01,12.64,4.39,0.06,0.34,0.07
4.91,12.38,0.05,3.71,0.11,7.53,0.79,0.71,1.26,0.00,0.00,0.10,18.92,1.34,0.01,30.76,6.90,0.03,0.39,0.07
1.86,2.06,0.03,1.64,0.00,4.14,0.35,0.10,1.47,0.00,0.00,0.10,2.42,1.16,0.00,12.17,7.80,0.01,0.11,0.01
2.87,23.66,0.57,1.42,0.04,3.41,0.51,1.38,1.26,0.00,0.00,0.15,4.42,1.63,0.01,0.91,0.53,0.06,0.09,0.06
0.53,5.44,0.00,2.71,0.01,4.47,0.43,1.11,0.07,0.00,0.00,0.16,12.01,1.19,0.00,34.44,0.02,0.07,0.05,0.01
1.10,13.24,0.43,2.33,0.12,1.52,0.04,1.11,1.19,0.00,0.00,0.10,3.45,1.78,0.00,33.75,3.52,0.04,0.42,0.02
4.98,7.48,0.04,3.91,0.00,1.10,0.81,1.52,0.94,0.00,0.00,0.04,2.06,1.43,0.01,13.70,1.71,0.05,0.49,0.02
0.78,22.26,0.42,3.87,0.08,6.05,0.71,0.53,0.95,0.00,0.00,0.01,12.40,1.79,0.01,31.07,3.57,0.03,0.01,0.05
1.16,29.37,0.05,1.29,0.00,2.56,0.44,0.90,0.28,0.00,0.00,0.06,9.91,1.70,0.01,3.18,2.08,0.06,0.50,0.08
1.26,11.54,0.59,3.00,0.12,6.92,0.09,1.18,0.88,0.00,0.00,0.03,3.75,1.82,0.00,52.74,7.46,0.06,0.03,0.07
1.06,0.43,0.00,2.43,0.01,4.05,0.32,1.21,0.32,0.00,0.00,0.02,1.41,1.09,0.00,46.81,2.31,0.00,0.03,0.02
2.20,25.80,0.88,3.50,0.06,1.92,0.11,1.96,1.32,0.00,0.00,0.19,13.65,1.60,0.00,36.58,2.96,0.09,0.32,0.09
1.27,10.06,0.05,0.75,0.01,6.43,0.19,0.39,1.35,0.00,0.00,0.16,0.90,1.34,0.01,41.53,4.71,0.01,0.22,0.07
3.65,21.20,0.52,1.03,0.09,2.57,0.67,1.36,0.66,0.00,0.00,0.11,10.47,2.07,0.01,41.13,4.17,0.08,0.17,0.04
4.13,14.07,0.05,1.48,0.00,6.30,0.06,0.44,0.08,0.00,0.00,0.04,16.61,1.80,0.01,21.00,3.59,0.02,0.37,0.09
2.72,25.03,0.51,1.34,0.10,3.75,0.70,1.89,0.70,0.00,0.00,0.17,14.74,1.61,0.00,59.50,4.23,0.02,0.47,0.05
